;;;;
;;;;
;ЧП Настин А.С.;;;
;;;;
;"
Телефоны: 37-24-05,37-49-47";;;
;;;;
;Прайс-лист;;;
;29 Апреля 2026 г.;;;
;;;;
Артикул;Наименование товаров;Розничные;;
;;"(включая НДС,
 без учета НП)";;
422.3708 (42.3708-10);Обмотка стартера 402 дв. г.Борисов г.Борисов;1 247,00 руб.;шт;
422.3708800;Реле втягивающее малое в коробке ГАЗ, УАЗ (402, 406 дв)г. Борисов;1 543,00 руб.;шт;
74.3708800 (12В);Реле втягивающее г. Борисов;2 408,00 руб.;шт;
7402-3708800 (24В);Реле втягивающее ММЗ Д-243,-245 г.Борисов;2 408,00 руб.;шт;
СТ142М-3708800;Реле втягивающее ММЗ Д-243,-245,-260 (12В) г. Борисов;3 038,00 руб.;шт;
СТ142Н-3708800;Реле втягивающее ММЗ Д245,-260 (24В) г.Борисов;3 105,00 руб.;шт;
СТ230А-3708800;Реле втягивающее ГАЗ-53 в сб.с крышкой г. Борисов;2 057,00 руб.;шт;
СТ230Б-3708800-10;Реле втягивающее большое в коробке  СТ230Б4, СТ230А1 г. Борисов;1 965,00 руб.;шт;
СТ230Б2-3708800-10;Реле втягивающее (СТ230К1, СТ230К4) г. Борисов;1 707,00 руб.;шт;
2107.370810-01;Стартер ВАЗ 2101-07 на магнитах г.Борисов;5 385,00 руб.;шт;
2109.3708010-01;Стартер ВАЗ 2108-09 на магнитах г.Борисов;5 385,00 руб.;шт;
3002.3708000;Стартер 3002.3708000 ГАЗ 3306-3309-66  24В 7,7КВ;21 193,00 руб.;шт;
42.3708000 (12В) дв.402;"Стартер 42 Дв.3151-01,3303-01,3741-01;а/м УАЗ; Т-150,Т-170 г. Борисов";6 238,00 руб.;шт;
СТ42.3708000-10(11) (12В);"Стартер 42-10 Дв.ЗМЗ-406.10,-4061.10,-4062.10; а/м ГАЗ г.Борисов";6 868,00 руб.;шт;
426.3708000;Стартер 426 ВАЗ 2108-09 с обмоткой г.Борисов;6 958,00 руб.;шт;
5404-3708000 (24В 5,2кВт);Стартер 5404 редукт. ММЗ-243,245(аналог 230Р0,7402,142Н) г.Борисов;14 429,00 руб.;шт;
"74.3708.0000 (12В;3,6кВт)";Стартер 74 ММЗ Д-243,-245,-260, МТЗ (аналог СТ142М) г. Борисов;11 926,00 руб.;шт;
"7402.3708000 (24В;5,2кВт)";Стартер 7402 Бычок, МАЗ, ПАЗ, ГАЗ, МТЗ (анал СТ230Р, СТ142Н) г. Борисов;12 890,00 руб.;шт;
5112-3708000 (12В 1,8кВт);Стартер ГАЗ УАЗ с редуктором  г. Борисов;6 983,00 руб.;шт;
6502.3708000-01(12В1,8кВт;Стартер ГАЗ, УАЗ с редуктором;6 403,00 руб.;шт;
СТ230Б4-3708000 (12В);"Стартер СТ230Б4 Дв.ЗМЗ-24-01,-320-01,-502-10;а/м ГАЗ-24 и мод. г.Борисов";9 176,00 руб.;шт;
СТ230К4-3708000 (12В);Стартер СТ230К4 ЗИЛ-130, ЛАЗ, ЛиАЗ г. Борисов;9 597,00 руб.;шт;
СТ230Р-3708200;Якорь стартера ММЗ-Д243,Д245 г.Борисов;3 030,00 руб.;шт;
;Валы карданные TIRSAN;;;
RS.96640.02.02 L=418 mm;43114-2202011-01 Вал карданный TIRSAN;18 248,00 руб.;шт;
;Валы карданные г.Гродно;;;
;Карданы ОАО БЕЛКАРД;;;
;КРАЗ;;;
65101-2205010 L=1582;Вал карданный КРАЗ;12 310,00 руб.;шт;
;МАЗ;;;
501-2203010-07 L=1688+58;Вал карданный МАЗ;9 634,00 руб.;шт;
503-2201010-15 L=1126;Вал карданный МАЗ;9 230,00 руб.;шт;
;Валы карданные г.Гродно;;;
4310-2202011-02;Вал карданный кв.фланец L=409mm;22 143,00 руб.;шт;
4310-2203011-01 Н/О;Вал карданный  кв.фл. L=1136mm;22 640,00 руб.;шт;
4310-2205011-04;Вал карданный круг.фланец L=727mm;31 449,00 руб.;шт;
43114-2202011-01;Вал карданный торц.шлицы L=418mm;42 562,00 руб.;шт;
43114-2203011;Вал карданный торц.шлицы L=1127mm;34 128,00 руб.;шт;
43114-2205011;Вал карданный торц.шлицы L=699mm;38 691,00 руб.;шт;
43118-2202011-31;Вал карданный торц.шлицы L=440+34mm;41 769,00 руб.;шт;
43118-2203011-30;Вал карданный торц.шлицы L=1305mm;39 783,00 руб.;шт;
43118-2203011-31;Вал карданный 43118-2203011-31 L=1285 mm;52 220,00 руб.;шт;
5320-2201011-03 М/О;Вал карданный кв.фланец L=724mm;20 400,00 руб.;шт;
5320-2205011-04;Вал карданный кв.фланец L=983mm;28 500,00 руб.;шт;
5320-2205011-33(34);Вал карданный круг.фланец L=990mm;15 000,00 руб.;шт;
53205-2201011-10 М/О;Вал карданный торц.шлицы L=709mm;33 370,00 руб.;шт;
53205-2205011-10 ОСНОВНОЙ;Вал карданный торц.шлицы L=955mm;38 301,00 руб.;шт;
53212-2205011-03;Вал карданный кв.фланец L=1483mm;25 200,00 руб.;шт;
53212-2205011-95;Вал карданный круг.фланец L=1377mm;15 000,00 руб.;шт;
53213-2205011-02;Вал карданный круг.фланец L=1666mm;15 692,00 руб.;шт;
53215-2205011-10;Вал карданный торц.шлицы L=1450mm;35 995,00 руб.;шт;
53254-2201011-02;Вал карданный круг.фланец L=1057mm;14 000,00 руб.;шт;
5410-2205011-04;Вал карданный кв.фланец L=638mm;28 400,00 руб.;шт;
54105-2205011-10;Вал карданный торц.шлицы L=629mm;37 180,00 руб.;шт;
54112-2205011-02;Вал карданный круг.фланец L=646mm;31 641,00 руб.;шт;
5511-2205011-13;Вал карданный кв.фланец L=818mm;28 600,00 руб.;шт;
55111-2205011-11;Вал карданный круг.фланец L=821mm;21 671,00 руб.;шт;
6520Г-2201011-11;Вал карданный КАМАЗ межосевой БЕЛКАРД L=701mm;47 599,00 руб.;шт;
6520Г-2205011-10;Вал карданный КАМАЗ основной БЕЛКАРД L=1425mm;66 000,00 руб.;шт;
375-2201010-04 L=880+92;Вал карданный УРАЛ межосевой;12 946,00 руб.;шт;
375-2202010-03 L=436+29;Вал карданный УРАЛ основной;26 209,00 руб.;шт;
375-2203010-05 L=1167+90;Вал карданный УРАЛ перед.мост;19 278,00 руб.;шт;
375-2205010-04 L=1262+60;Вал карданный УРАЛ средний мост;21 956,00 руб.;шт;
4320-2201010-03 L=821+92;Вал карданный УРАЛ межосевой;17 994,00 руб.;шт;
4320-2205010-02 L=1192+60;Вал карданный УРАЛ средний мост;23 044,00 руб.;шт;
5320-2201023;Вилка фланец 5320-2201023 межосевая;3 441,00 руб.;шт;
6520-2201023;Вилка фланец 6520-2201023;10 345,00 руб.;шт;
5320-2205023-10 Н/О;Вилка фланец Н/О;4 565,00 руб.;шт;
;Валы карданные УКД;;;
У 4310-2203011-01;Вал карданный (1136 мм);13 992,00 руб.;шт;
У 375-2203010-05;Вал карданный (1167 мм);14 027,00 руб.;шт;
У 43118-2203011-31;Вал карданный (1285мм);24 318,00 руб.;шт;
У 43118-2203011-30;Вал карданный (1305 мм);22 234,00 руб.;шт;
У 43118-2205011;Вал карданный (1322мм);27 800,00 руб.;шт;
У 6520-2205011-10;Вал карданный (1425 мм);36 975,00 руб.;шт;
У 53215-2205011-10;Вал карданный (1454 мм);32 848,00 руб.;шт;
У 53212-2205011-03;Вал карданный (1483 мм);16 055,00 руб.;шт;
У 43118-2202011-10;Вал карданный (585 мм);33 465,00 руб.;шт;
У 54105-2205011-10;Вал карданный (629 мм);29 842,00 руб.;шт;
У 5410-2205011-04;Вал карданный (638 мм);15 333,00 руб.;шт;
У 6520Г-2201011-11;Вал карданный (701 мм);22 999,00 руб.;шт;
У 53205-2201011-10;Вал карданный (709 мм);28 088,00 руб.;шт;
У 5511-2205011-13;Вал карданный (818 мм);15 133,00 руб.;шт;
У 53205-2205011-10;Вал карданный (955 мм);33 580,00 руб.;шт;
У 5320-2201011-01;Вал карданный межосевой  (724 мм);12 466,00 руб.;шт;
У 43114-2203011;Вал карданный торц.шл. L=1127mm;27 238,00 руб.;шт;
У 43114-2202011-01;Вал карданный торц.шл. L=418mm;20 175,00 руб.;шт;
У 4320-2201010-03;Вал карданный УРАЛ м/о (821мм);16 704,00 руб.;шт;
;Вкладыши г. Димитровград;;;
740-1006037;Втулка распредвала;163,00 руб.;шт;
740-1006026-02 1 шт.;Втулка распредвала;121,00 руб.;шт;
740.21-1006037;Втулка распредвала ЕВРО;171,00 руб.;шт;
740-1004052;Втулка шатуна;159,00 руб.;шт;
5320-6105020-10;Замок двери правый г.Димитровград;849,00 руб.;шт;
5320-8406010;Замок панели в сборе г.Димитровград;173,00 руб.;шт;
236-1000102-00;К--т вкладышей коренной Р0 МАЗ 236;2 038,00 руб.;шт;
236-1000102-01;К--т вкладышей коренной Р1 МАЗ 236;2 021,00 руб.;шт;
236-1000102-02;К--т вкладышей коренной Р2 МАЗ 236;2 062,00 руб.;шт;
236-1000102-06;К--т вкладышей коренной Р6 МАЗ 236;1 876,00 руб.;шт;
238-1000102-00 Б2;К--т вкладышей МАЗ 238 коренной Р0;2 491,00 руб.;шт;
238-1000102-01 Б2;К--т вкладышей МАЗ 238 коренной Р1;2 599,00 руб.;шт;
238-1000104-00;К--т вкладышей МАЗ 238 шатунный Р0;2 810,00 руб.;шт;
238-1000104-01;К--т вкладышей МАЗ 238 шатунный Р1;2 760,00 руб.;шт;
238-1000104-02;К--т вкладышей МАЗ 238 шатунный Р2;2 879,00 руб.;шт;
7405-1000102-00 10шт. уп.;К--т вкладышей Р0 коренной;2 215,00 руб.;шт;
7405-1000102-01;К--т вкладышей Р1 коренной;2 087,00 руб.;шт;
7405-1000102-02;К--т вкладышей Р2 коренной;2 087,00 руб.;шт;
7405-1000102-03;К--т вкладышей Р3 коренной;2 006,00 руб.;шт;
7405-1000102-04;К--т вкладышей Р4 коренной;2 305,00 руб.;шт;
7405-1000102-05;К--т вкладышей Р5 коренной;2 087,00 руб.;шт;
7405-1000102-06;К--т вкладышей Р6 коренной;2 087,00 руб.;шт;
7405-1000102-07;К--т вкладышей Р7 коренной;2 006,00 руб.;шт;
7405-1000104-00  9 шт.уп.;К-т вкладышей Р0  шатунный;2 979,00 руб.;шт;
7405-1000104-01;К-т вкладышей Р1  шатунный;2 810,00 руб.;шт;
7405-1000104-02;К-т вкладышей Р2  шатунный;2 810,00 руб.;шт;
7405-1000104-03;К-т вкладышей Р3  шатунный;1 050,00 руб.;шт;
7405-1000104-04;К-т вкладышей Р4  шатунный;970,00 руб.;шт;
7405-1000104-05;К-т вкладышей Р5  шатунный;888,00 руб.;шт;
7405-1000104-06;К-т вкладышей Р6  шатунный;3 050,00 руб.;шт;
7405-1000104-07;К-т вкладышей Р7  шатунный;786,00 руб.;шт;
236-1000104-00 В2;К-т вкладышей шатунный Р0 МАЗ 236;2 108,00 руб.;шт;
236-1000104-01 В2;К-т вкладышей шатунный Р1 МАЗ 236;2 097,00 руб.;шт;
 ;К-т полукольцо Р0  верх+нижн. 183/184 4шт.;930,00 руб.;шт;
 ;К-т полукольцо Р1 верх+нижн. 183/184 4шт.;898,00 руб.;шт;
